"id_spe";"tsn";"genus";"species";"en_common_name";"fr_common_name";"qc_code";"on_tree_code";"on_alpha_code";"us_code";"nb_code"
"18154-PER-AME";18154;"Persea";"americana";"avocado";"";"";;"";7211;
"18155-PER-KRU";18155;"Persea";"krugii";"canela";"";"";;"";8134;
"18156-PER-URB";18156;"Persea";"urbaniana";"aquacatillo";"";"";;"";8138;
"18158-SAS-ALB";18158;"Sassafras";"albidum";"Sassafras ;sassafras";"";"";78;"Ss";931;
"18171-ANI-BRA";18171;"Aniba";"bracteata";"canelillo";"";"";;"";6120;
"18174-CIN-NA";18174;"Cinnamomum";"";"cinnamon";"";"";;"";6563;
"18175-CIN-CAM";18175;"Cinnamomum";"camphora";"camphortree";"";"";;"";858;
"18183-NEC-COR";18183;"Nectandra";"coriacea";"Nectandra coriacea";"";"";;"";7932;
"18185-NEC-MEM";18185;"Nectandra";"membranacea";"Nectandra membranacea";"";"";;"";7935;
"18186-NEC-KRU";18186;"Nectandra";"krugii";"Nectandra krugii";"";"";;"";7934;
"18187-NEC-PAT";18187;"Nectandra";"patens";"Nectandra patens";"";"";;"";7936;
"18190-OCO-LEU";18190;"Ocotea";"leucoxylon";"loblolly sweetwood";"";"";;"";7994;
"18192-OCO-FLO";18192;"Ocotea";"floribunda";"laurel espada";"";"";;"";7990;
"18193-OCO-FOE";18193;"Ocotea";"foeniculacea";"black sweetwood";"";"";;"";7991;
"18194-OCO-MOS";18194;"Ocotea";"moschata";"nemoca";"";"";;"";7996;
"18195-OCO-POR";18195;"Ocotea";"portoricensis";"laurel de paloma";"";"";;"";7999;
"18196-OCO-SPA";18196;"Ocotea";"spathulata";"nemoca cimarrona";"";"";;"";8001;
"18197-OCO-WRI";18197;"Ocotea";"wrightii";"'Wright''s laurel canelon'";"";"";;"";8003;
"18202-LIC-TRI";18202;"Licaria";"triandra";"pepperleaf sweetwood";"";"";;"";7573;
"18203-LIC-BRI";18203;"Licaria";"brittoniana";"Maria laurel";"";"";;"";7569;
"18205-LIT-NA";18205;"Litsea";"";"Litsea";"";"";;"";7587;
"18208-UMB-CAL";18208;"Umbellularia";"californica";"California-laurel";"";"";;"";981;
"18209-CRY-NA";18209;"Cryptocarya";"";"cryptocarya";"";"";;"";6783;
"18210-CRY-MAN";18210;"Cryptocarya";"mannii";"holio";"";"";;"";6781;
"18213-BEI-PEN";18213;"Beilschmiedia";"pendula";"slugwood";"";"";;"";6233;
"18307-PIP-HIS";18307;"Piper";"hispidum";"Jamaican pepper";"";"";;"";8194;
"18314-PIP-AMA";18314;"Piper";"amalago";"higuillo de limon";"";"";;"";8191;
"18315-PIP-BLA";18315;"Piper";"blattarum";"moth pepper";"";"";;"";8192;
"18317-PIP-GLA";18317;"Piper";"glabrescens";"Guyanese pepper";"";"";;"";8193;
"18318-PIP-MAR";18318;"Piper";"marginatum";"marigold pepper";"";"";;"";8196;
"18321-PIP-SWA";18321;"Piper";"swartzianum";"spanish elder";"";"";;"";8199;
"18874-COR-NA";18874;"Corynocarpus";"";"corynocarpus";"";"";;"";6755;
"18875-COR-LAE";18875;"Corynocarpus";"laevigatus";"karaka nut";"";"";;"";6754;
"18995-BOC-NA";18995;"Bocconia";"";"bocconia";"";"";;"";6248;
"18996-BOC-FRU";18996;"Bocconia";"frutescens";"parrotweed";"";"";;"";6247;
"19019-PLA-NA";19019;"Platanus";"";"sycamore";"";"";;"";729;
"19020-PLA-OCC";19020;"Platanus";"occidentalis";"Sycamore ;American sycamore";"";"";57;"Sy";731;
"19022-PLA-RAC";19022;"Platanus";"racemosa";"California sycamore";"";"";;"";730;
"19023-PLA-WRI";19023;"Platanus";"wrightii";"Arizona sycamore";"";"";;"";732;
"19027-LIQ-STY";19027;"Liquidambar";"styraciflua";"sweetgum";"";"";;"";611;
"19039-CEL-NA";19039;"Celtis";"";"hackberry";"";"";;"";460;
"19040-CEL-OCC";19040;"Celtis";"occidentalis";"Hackberry ;hackberry";"Micocoulier occidental";"CEO";68;"Hk";462;
"19042-CEL-LAE";19042;"Celtis";"laevigata";"sugarberry";"";"";;"";461;
"19047-CEL-TRI";19047;"Celtis";"trinervia";"almex";"";"";;"";6454;
"19048-ULM-NA";19048;"Ulmus";"";"elm";"";"";;"";970;
"19049-ULM-AME";19049;"Ulmus";"americana";"American elm ;American elm";"'Orme d''Amérique'";"ORA";50;"Ea";972;
"19050-ULM-RUB";19050;"Ulmus";"rubra";"Red elm (slippery) ;slippery elm";"Orme rouge";"ORR";170;"Es";975;
"19051-ULM-ALA";19051;"Ulmus";"alata";"winged elm";"";"";;"";971;
"19052-ULM-CRA";19052;"Ulmus";"crassifolia";"cedar elm";"";"";;"";973;
"19057-ULM-PUM";19057;"Ulmus";"pumila";"Siberian elm";"";"";;"";974;
"19058-ULM-SER";19058;"Ulmus";"serotina";"September elm";"";"";;"";976;
"19059-ULM-THO";19059;"Ulmus";"thomasii";"Rock elm ;rock elm";"Orme de Thomas";"ORT";169;"Eu";977;
"19061-PLA-AQU";19061;"Planera";"aquatica";"water-elm, planertree";"";"";;"";722;
"19066-MOR-ALB";19066;"Morus";"alba";"white mulberry";"";"";;"";681;
"19068-MOR-MIC";19068;"Morus";"microphylla";"Texas mulberry";"";"";;"";683;
"19069-MOR-NIG";19069;"Morus";"nigra";"black mulberry";"";"";;"";684;
"19070-MOR-RUB";19070;"Morus";"rubra";"Red mulberry ;red mulberry";"";"";175;"Mo";682;
"19071-ART-NA";19071;"Artocarpus";"";"meduu";"";"";;"";6178;
"19078-CAS-ELA";19078;"Castilla";"elastica";"Panama rubbertree";"";"";;"";6430;
"19083-FIC-BEN";19083;"Ficus";"benjamina";"weeping fig";"";"";;"";7150;
"19085-FIC-ELA";19085;"Ficus";"elastica";"Indian rubberplant";"";"";;"";7155;
"19092-FIC-AUR";19092;"Ficus";"aurea";"Florida strangler fig";"";"";;"";876;
"19093-FIC-CAR";19093;"Ficus";"carica";"edible fig";"";"";;"";7151;
"19094-FIC-CIT";19094;"Ficus";"citrifolia";"wild banyantree, shortleaf fig";"";"";;"";877;
"19096-FIC-OBT";19096;"Ficus";"obtusifolia";"amate";"";"";;"";7164;
"19099-FIC-TRI";19099;"Ficus";"trigonata";"jaguey blanco";"";"";;"";7177;
"19101-MAC-TIN";19101;"Maclura";"tinctoria";"Maclura tinctoria";"";"";;"";7632;
"19102-MAC-POM";19102;"Maclura";"pomifera";"Osage-orange";"";"";;"";641;
"19103-TRE-NA";19103;"Trema";"";"trema";"";"";;"";8832;
"19105-TRE-CAN";19105;"Trema";"cannabina";"magele";"";"";;"";8827;
"19107-BRO-PAP";19107;"Broussonetia";"papyrifera";"paper mulberry";"";"";;"";6262;
"19111-PSE-SPU";19111;"Pseudolmedia";"spuria";"false breadnut";"";"";;"";8352;
"19113-TRO-RAC";19113;"Trophis";"racemosa";"white ramoon";"";"";;"";8848;
"19116-STR-NA";19116;"Streblus";"";"streblus";"";"";;"";8671;
"19178-NER-MEL";19178;"Neraudia";"melastomifolia";"maaloa";"";"";;"";7954;
"19181-PIP-NA";19181;"Pipturus";"";"pipturus";"";"";;"";8207;
"19194-TOU-NA";19194;"Touchardia";"";"touchardia";"";"";;"";8823;
"19195-TOU-LAT";19195;"Touchardia";"latifolia";"olona";"";"";;"";8822;
"19204-URE-NA";19204;"Urera";"";"urera";"";"";;"";8858;
"19205-URE-GLA";19205;"Urera";"glabra";"hopue";"";"";;"";8856;
"19206-URE-KAA";19206;"Urera";"kaalae";"opuhe";"";"";;"";8857;
"19209-URE-BAC";19209;"Urera";"baccifera";"scratchbush";"";"";;"";8853;
"19210-URE-CAR";19210;"Urera";"caracasana";"flameberry";"";"";;"";8854;
"19211-URE-CHL";19211;"Urera";"chlorocarpa";"ortiga";"";"";;"";8855;
"19213-CEC-NA";19213;"Cecropia";"";"pumpwood";"";"";;"";6444;
"19223-CAR-NA";19223;"Carya";"";"hickory";"";"";;"";400;
"19227-CAR-COR";19227;"Carya";"cordiformis";"Bitternut hickory ;bitternut hickory";"Caryer cordiforme";"CAC";123;"Hb";402;
"19230-CAR-FLO";19230;"Carya";"floridana";"scrub hickory";"";"";;"";411;
"19231-CAR-GLA";19231;"Carya";"glabra";"Pignut hickory ;pignut hickory";"";"";89;"Hp";403;
"19234-CAR-ILL";19234;"Carya";"illinoinensis";"pecan";"";"";;"";404;
"19235-CAR-LAC";19235;"Carya";"laciniosa";"Big shellbark hickory ;shellbark hickory";"";"";93;"Hl";405;
"19239-CAR-MYR";19239;"Carya";"myristiciformis";"nutmeg hickory";"";"";;"";406;
"19242-CAR-OVA";19242;"Carya";"ovata";"Shagbark hickory ;shagbark hickory";"Caryer à fruits doux";"CAF";124;"Hs";407;
"19244-CAR-PAL";19244;"Carya";"pallida";"sand hickory";"";"";;"";410;
"19246-CAR-TEX";19246;"Carya";"texana";"black hickory";"";"";;"";408;
"19247-CAR-TOM";19247;"Carya";"tomentosa";"Mockernut hickory";"";"";92;"Hm";;
"19248-JUG-NA";19248;"Juglans";"";"walnut";"";"";;"";600;
"19249-JUG-CAL";19249;"Juglans";"californica";"southern California black walnut";"";"";;"";604;
"19250-JUG-CIN";19250;"Juglans";"cinerea";"Butternut ;butternut";"Noyer cendré";"NOC";55;"Bn";601;
"19251-JUG-HIN";19251;"Juglans";"hindsii";"northern California black walnut";"";"";;"";603;
"19252-JUG-MAJ";19252;"Juglans";"major";"Arizona walnut";"";"";;"";606;
"19253-JUG-MIC";19253;"Juglans";"microcarpa";"Texas walnut";"";"";;"";605;
"19254-JUG-NIG";19254;"Juglans";"nigra";"Black walnut ;black walnut";"Noyer noir";"NON";54;"Wb";602;
"19255-JUG-JAM";19255;"Juglans";"jamaicensis";"West Indian walnut";"";"";;"";7495;
"19260-MYR-NA";19260;"Myrica";"";"sweetgale";"";"";;"";7900;
"19265-MYR-GAL";19265;"Myrica";"gale";"";"Myrique baumier";"MYG";;"";;
"19276-QUE-NA";19276;"Quercus";"";"oak";"";"";;"";800;
"19277-QUE-FAL";19277;"Quercus";"falcata";"southern red oak";"";"";;"";812;
"19278-QUE-LYR";19278;"Quercus";"lyrata";"overcup oak";"";"";;"";822;
"19279-QUE-MIC";19279;"Quercus";"michauxii";"swamp chestnut oak";"";"";;"";825;
"19280-QUE-NIG";19280;"Quercus";"nigra";"Black oak ;water oak";"";"";86;"Obl";827;
"19281-QUE-PAL";19281;"Quercus";"palustris";"Pin oak ;pin oak";"";"";87;"Op";830;
"19282-QUE-PHE";19282;"Quercus";"phellos";"willow oak";"";"";;"";831;
"19283-QUE-VIR";19283;"Quercus";"virginiana";"live oak";"";"";;"";838;
"19287-QUE-MAC";19287;"Quercus";"macrocarpa";"Bur oak;mossy-cup oak ;bur oak";"Chêne à gros fruits";"CHG";42;"Ob";823;
"19288-QUE-COC";19288;"Quercus";"coccinea";"scarlet oak";"";"";;"";806;
"19289-QUE-AGR";19289;"Quercus";"agrifolia";"California live oak";"";"";;"";801;
"19290-QUE-ALB";19290;"Quercus";"alba";"White oak ;white oak";"Chêne blanc";"CHB";40;"Ow";802;
"19292-QUE-ARI";19292;"Quercus";"arizonica";"Arizona white oak";"";"";;"";803;
"19300-QUE-BIC";19300;"Quercus";"bicolor";"Swamp white oak ;swamp white oak";"Chêne bicolore";"CHE";88;"Osw";804;
"19312-QUE-CHR";19312;"Quercus";"chrysolepis";"canyon live oak";"";"";;"";805;
"19322-QUE-DOU";19322;"Quercus";"douglasii";"blue oak";"";"";;"";807;
"19327-QUE-ELL";19327;"Quercus";"ellipsoidalis";"northern pin oak";"";"";;"";809;
"19328-QUE-EMO";19328;"Quercus";"emoryi";"Emory oak";"";"";;"";810;
"19329-QUE-ENG";19329;"Quercus";"engelmannii";"Engelmann oak";"";"";;"";811;
"19337-QUE-GAM";19337;"Quercus";"gambelii";"Gambel oak";"";"";;"";814;
"19340-QUE-GAR";19340;"Quercus";"garryana";"Oregon white oak";"";"";;"";815;
"19346-QUE-GRA";19346;"Quercus";"gravesii";"Graves oak";"";"";;"";8511;
"19347-QUE-GRI";19347;"Quercus";"grisea";"gray oak";"";"";;"";846;
"19357-QUE-HYP";19357;"Quercus";"hypoleucoides";"silverleaf oak";"";"";;"";843;
"19358-QUE-ILI";19358;"Quercus";"ilicifolia";"scrub oak";"";"";;"";816;
"19359-QUE-IMB";19359;"Quercus";"imbricaria";"shingle oak";"";"";;"";817;
"19360-QUE-INC";19360;"Quercus";"incana";"bluejack oak";"";"";;"";842;
"19366-QUE-KEL";19366;"Quercus";"kelloggii";"California black oak";"";"";;"";818;
"19367-QUE-LAE";19367;"Quercus";"laevis";"turkey oak";"";"";;"";819;
"19368-QUE-LAU";19368;"Quercus";"laurifolia";"laurel oak";"";"";;"";820;
"19370-QUE-LOB";19370;"Quercus";"lobata";"California white oak";"";"";;"";821;
"19374-QUE-MAR";19374;"Quercus";"marilandica";"blackjack oak";"";"";;"";824;
"19377-QUE-MIN";19377;"Quercus";"minima";"dwarf live oak";"";"";;"";841;
"19390-QUE-OBL";19390;"Quercus";"oblongifolia";"Mexican blue oak";"";"";;"";829;
"19391-QUE-OGL";19391;"Quercus";"oglethorpensis";"Oglethorpe oak";"";"";;"";844;
"19397-QUE-PRI";19397;"Quercus";"prinoides";"dwarf chinkapin oak";"";"";;"";845;
"19408-QUE-RUB";19408;"Quercus";"rubra";"Red oak ;northern red oak";"Chêne rouge";"CHR";41;"Or";833;17
"19410-QUE-RUG";19410;"Quercus";"rugosa";"netleaf oak";"";"";;"";847;
"19417-QUE-SHU";19417;"Quercus";"shumardii";"'Shumard''s oak ;Shumard oak'";"";"";39;"Os";834;
"19422-QUE-STE";19422;"Quercus";"stellata";"post oak";"";"";;"";835;
"19430-QUE-SUB";19430;"Quercus";"suber";"cork oak";"";"";;"";8424;
"19447-QUE-VEL";19447;"Quercus";"velutina";"black oak";"";"";;"";837;
"19451-CAS-NA";19451;"Castanea";"";"chestnut";"";"";;"";420;
"19454-CAS-DEN";19454;"Castanea";"dentata";"American chestnut ;American chestnut";"";"";171;"Cd";421;
"19457-CAS-PUM";19457;"Castanea";"pumila";"Allegheny chinkapin";"";"";;"";422;
"19462-FAG-GRA";19462;"Fagus";"grandifolia";"American beech ;American beech";"Hêtre à grandes feuilles";"HEG";44;"Be";531;15
"19464-LIT-DEN";19464;"Lithocarpus";"densiflorus";"tanoak";"";"";;"";631;
"19466-ALN-NA";19466;"Alnus";"";"alder";"Saule";"SAL";;"";350;22
"19470-ALN-GLU";19470;"Alnus";"glutinosa";"European alder";"";"";;"";355;
"19472-ALN-OBL";19472;"Alnus";"oblongifolia";"Arizona alder";"";"";;"";353;
"19473-ALN-RHO";19473;"Alnus";"rhombifolia";"white alder";"";"";;"";352;
"19474-ALN-RUB";19474;"Alnus";"rubra";"red alder";"";"";;"";351;
"19478-BET-NA";19478;"Betula";"";"birch";"";"";;"";370;
"19479-BET-NAN";19479;"Betula";"nana";"";"Bouleau nain";"BEP";;"";;
"19480-BET-NIG";19480;"Betula";"nigra";"river birch";"";"";;"";373;
"19481-BET-ALL";19481;"Betula";"alleghaniensis";"Yellow birch ;yellow birch";"Bouleau jaune";"BOJ";37;"By";371;14
"19485-BET-GLA";19485;"Betula";"glandulosa";"";"Bouleau glanduleux";"BEG";;"";;
"19487-BET-LEN";19487;"Betula";"lenta";"Cherry birch;sweet birch ;sweet birch";"";"";112;"Bc";372;
"19488-BET-OCC";19488;"Betula";"occidentalis";"water birch";"";"";;"";374;
"19489-BET-PAP";19489;"Betula";"papyrifera";"White birch;paper birch ;paper birch";"Bouleau blanc (à papier)";"BOP";38;"Bw";375;19
"19495-BET-PEN";19495;"Betula";"pendula";"European white birch (weeping);silver birch";"";"";120;"Bp";;
"19497-BET-POP";19497;"Betula";"populifolia";"Grey birch;wire birch ;gray birch";"Bouleau gris (à feuilles de peuplier)";"BOG";168;"Br";379;131
"19502-BET-UBE";19502;"Betula";"uber";"Virginia roundleaf birch";"";"";;"";377;
"19504-CAR-CAR";19504;"Carpinus";"caroliniana";"Blue beech ;American hornbeam, musclewood";"Charme de Caroline";"CAR";111;"Bu";391;
"19507-COR-COR";19507;"Corylus";"cornuta";"";"Noisetier à long bec";"COC";;"";;35
"19511-OST-VIR";19511;"Ostrya";"virginiana";"Ironwood ;eastern hophornbeam";"Ostryer de Virginie";"OSV";56;"Id";701;16
"19514-CAS-NA";19514;"Casuarina";"";"sheoak";"";"";;"";855;
"19516-CAS-EQU";19516;"Casuarina";"equisetifolia";"beach sheoak";"";"";;"";6434;
"19517-CAS-GLA";19517;"Casuarina";"glauca";"gray sheoak";"";"";;"";856;
"19595-GUA-DIS";19595;"Guapira";"discolor";"beeftree, longleaf blolly";"";"";;"";882;
"19599-GUA-FRA";19599;"Guapira";"fragrans";"black mampoo";"";"";;"";7285;
"19600-GUA-OBT";19600;"Guapira";"obtusata";"corcho prieto";"";"";;"";7286;
"19606-PIS-NA";19606;"Pisonia";"";"catchbirdtree";"";"";;"";8215;
"19609-PIS-ALB";19609;"Pisonia";"albida";"corcho bobo";"";"";;"";8211;
"19611-PIS-SUB";19611;"Pisonia";"subcordata";"water mampoo";"";"";;"";8216;
"19666-NEE-BUX";19666;"Neea";"buxifolia";"saltwood";"";"";;"";7940;
"19686-OPU-NA";19686;"Opuntia";"";"pricklypear";"";"";;"";8018;
"19706-OPU-FIC";19706;"Opuntia";"ficus-indica";"tuna cactus";"";"";;"";8014;
"19861-HYL-NA";19861;"Hylocereus";"";"nightblooming cactus";"";"";;"";7440;
"20589-CHE-NA";20589;"Chenopodium";"";"goosefoot";"";"";;"";6518;
"20640-CHE-OAH";20640;"Chenopodium";"oahuense";"alaweo";"";"";;"";6517;
"20787-CHA-NA";20787;"Charpentiera";"";"papala";"";"";;"";6503;
"20788-CHA-DEN";20788;"Charpentiera";"densiflora";"Napali coast papala";"";"";;"";6497;
"20789-CHA-ELL";20789;"Charpentiera";"elliptica";"ellipticleaf papala";"";"";;"";6498;
"20790-CHA-OBO";20790;"Charpentiera";"obovata";"broadleaf papala";"";"";;"";6499;
"20791-CHA-OVA";20791;"Charpentiera";"ovata";"Koolau Range papala";"";"";;"";6500;
"20792-CHA-TOM";20792;"Charpentiera";"tomentosa";"Waianae Range papala";"";"";;"";6504;
"20827-NOT-HUM";20827;"Nototrichium";"humile";"kaala rockwort";"";"";;"";7971;
"20828-NOT-SAN";20828;"Nototrichium";"sandwicense";"Hawaii rockwort";"";"";;"";7972;
"21038-COC-DIV";21038;"Coccoloba";"diversifolia";"tietongue, pigeon-plum";"";"";;"";863;
"21039-COC-UVI";21039;"Coccoloba";"uvifera";"seagrape";"";"";;"";6670;
"21040-COC-COS";21040;"Coccoloba";"costata";"uvilla";"";"";;"";6658;
"21041-COC-KRU";21041;"Coccoloba";"krugii";"whitewood";"";"";;"";6660;
"21042-COC-MIC";21042;"Coccoloba";"microstachya";"puckhout";"";"";;"";6661;
"21043-COC-PUB";21043;"Coccoloba";"pubescens";"grandleaf seagrape";"";"";;"";6663;
"21044-COC-PYR";21044;"Coccoloba";"pyrifolia";"uvera";"";"";;"";6664;
"21045-COC-RUG";21045;"Coccoloba";"rugosa";"ortegon";"";"";;"";6665;
"21047-COC-SWA";21047;"Coccoloba";"swartzii";"'Swartz''s pigeonplum'";"";"";;"";6668;
"21048-COC-VEN";21048;"Coccoloba";"venosa";"false chiggergrape";"";"";;"";6671;
"21356-OCH-NA";21356;"Ochna";"";"ochna";"";"";;"";7977;
"21360-OUR-ILI";21360;"Ouratea";"ilicifolia";"chicharron amarillo";"";"";;"";8029;
"21361-OUR-LIT";21361;"Ouratea";"littoralis";"abey amarillo";"";"";;"";8030;
"21362-OUR-STR";21362;"Ouratea";"striata";"guanabanilla";"";"";;"";8032;
"21375-TER-LUQ";21375;"Ternstroemia";"luquillensis";"palo colorado";"";"";;"";8763;
"21376-TER-PED";21376;"Ternstroemia";"peduncularis";"copey vera";"";"";;"";8764;
"21377-TER-STA";21377;"Ternstroemia";"stahlii";"mamey de cura";"";"";;"";8766;
"21378-TER-SUB";21378;"Ternstroemia";"subsessilis";"el yunque colorado";"";"";;"";8767;
"21380-CLE-ALB";21380;"Cleyera";"albopunctata";"teta prieta";"";"";;"";6637;
"21381-EUR-NA";21381;"Eurya";"";"eurya";"";"";;"";7120;
"21382-EUR-SAN";21382;"Eurya";"sandwicensis";"anini";"";"";;"";7119;
"21386-GOR-LAS";21386;"Gordonia";"lasianthus";"loblolly-bay";"";"";;"";555;
"21388-LAP-POR";21388;"Laplacea";"portoricensis";"nino de cota";"";"";;"";7541;
"21431-HYP-CAN";21431;"Hypericum";"canariense";"Canary Island St. Johnswort";"";"";;"";7448;
"21478-CAL-NA";21478;"Calophyllum";"";"calophyllum";"";"";;"";6345;
"21482-GAR-NA";21482;"Garcinia";"";"Garcinia";"";"";;"";7221;
"21484-GAR-MAN";21484;"Garcinia";"mangostana";"mangosteen";"";"";;"";7214;
"21488-CLU-MIN";21488;"Clusia";"minor";"cupey de monte";"";"";;"";6650;
"21490-CLU-ROS";21490;"Clusia";"rosea";"Scotch attorney";"";"";;"";6651;
"21491-MAM-NA";21491;"Mammea";"";"Mammea";"";"";;"";7655;
"21492-MAM-AME";21492;"Mammea";"americana";"mammee apple";"";"";;"";7652;
"21502-MUN-NA";21502;"Muntingia";"";"muntingia";"";"";;"";7868;
"21503-MUN-CAL";21503;"Muntingia";"calabura";"strawberrytree";"";"";;"";7867;
"21505-ELA-NA";21505;"Elaeocarpus";"";"Elaeocarpus";"";"";;"";6983;
"21506-ELA-BIF";21506;"Elaeocarpus";"bifidus";"kalia";"";"";;"";6975;
"21507-SLO-NA";21507;"Sloanea";"";"bullwood";"";"";;"";8622;
"21508-SLO-AMY";21508;"Sloanea";"amygdalina";"motillo";"";"";;"";8623;
"21535-TIL-NA";21535;"Tilia";"";"basswood";"";"";;"";950;
"21536-TIL-AME";21536;"Tilia";"americana";"Basswood ;white basswood";"'Tilleul d''Amérique'";"TIL";51;"Bd";952;
"21541-TIL-PLA";21541;"Tilia";"platyphyllos";"Big leaf linden";"";"";166;"Bl";;
"21546-GUA-ULM";21546;"Guazuma";"ulmifolia";"bastardcedar";"";"";;"";7298;
"21547-MEL-NA";21547;"Melochia";"";"melochia";"";"";;"";7767;
"21591-ADA-DIG";21591;"Adansonia";"digitata";"baobab";"";"";;"";6025;
"21595-CEI-PEN";21595;"Ceiba";"pentandra";"kapoktree";"";"";;"";6449;
"21596-CEI-AES";21596;"Ceiba";"aesculifolia";"pochote";"";"";;"";6448;
"21598-QUA-TUR";21598;"Quararibea";"turbinata";"swizzlestick tree";"";"";;"";8422;
"21602-OCH-PYR";21602;"Ochroma";"pyramidale";"Ochroma pyramidale";"";"";;"";7980;
"21604-PAC-AQU";21604;"Pachira";"aquatica";"miich era ngebard, guiana chestnut";"";"";;"";8036;
"21605-PAC-INS";21605;"Pachira";"insignis";"wild chestnut";"";"";;"";8037;
"21611-HIB-NA";21611;"Hibiscus";"";"rosemallow";"";"";;"";7411;
"21616-HIB-ROS";21616;"Hibiscus";"rosa-sinensis";"shoeblackplant";"";"";;"";7410;
"21629-HIB-ELA";21629;"Hibiscus";"elatus";"mahoe";"";"";;"";7403;
"21634-HIB-MUT";21634;"Hibiscus";"mutabilis";"Dixie rosemallow";"";"";;"";7408;
"21640-HIB-ARN";21640;"Hibiscus";"arnottianus";"white rosemallow";"";"";;"";7393;
"21641-HIB-BRA";21641;"Hibiscus";"brackenridgei";"Brackenridges rosemallow";"";"";;"";7397;
